Date_Hour,Avg_Power
2024-02-18_10,110.63180970149254
2024-02-18_11,110.8768115942029
2024-02-18_12,106.88102685157864
2024-02-18_13,114.90212389380531
2024-02-18_14,169.90811209439528
2024-02-18_15,203.5222189436412
2024-02-18_16,171.4797640117994
2024-02-18_17,172.13731563421828
2024-02-18_18,119.00374741811744
2024-02-18_19,111.82300206428782
2024-02-18_20,106.34179941002951
2024-02-18_21,105.37510324483775
2024-02-18_22,119.47681415929205
2024-02-18_23,108.1259958689879
2024-02-19_00,117.82920353982301
2024-02-19_01,137.4755162241888
2024-02-19_02,146.3268220714075
2024-02-19_03,145.33324483775812
2024-02-19_04,145.07195517546447
2024-02-19_05,142.58949852507376
2024-02-19_06,138.26624372971378
2024-02-19_07,135.03861356932154
2024-02-19_08,137.34457227138643
2024-02-19_09,139.5
2024-02-19_10,137.32857142857142
2024-02-19_11,130.75054945054944
2024-02-19_12,144.29999999999998
2024-02-19_13,137.24
2024-02-19_14,145.2070126660488
2024-02-19_15,202.81900265565062
2024-02-19_16,167.3152802359882
2024-02-19_17,168.96182890855457
2024-02-19_18,179.52738270876367
2024-02-19_19,134.90200589970502
2024-02-19_20,126.15061946902654
2024-02-19_21,158.12885807022718
2024-02-19_22,201.15128280743144
2024-02-19_23,177.86005899705015
2024-02-20_00,179.77713864306784
2024-02-20_01,170.924048391856
2024-02-20_02,144.85047197640117
2024-02-20_03,146.45115044247788
2024-02-20_04,146.34041297935104
2024-02-20_05,160.49899675420477
2024-02-20_06,136.27991150442477
2024-02-20_07,128.64302565614864
2024-02-20_08,150.4053408084981
2024-02-20_09,140.83719764011798
2024-02-20_10,106.8383185840708
2024-02-20_11,148.83383480825958
2024-02-20_12,146.99754098360654
2024-02-20_13,130.22949852507375
2024-02-20_14,140.53611684862793
2024-02-20_15,130.91076696165192
2024-02-20_16,121.01563421828908
2024-02-20_17,118.29805252286809
2024-02-20_18,126.07970501474927
2024-02-20_19,112.41418879056046
2024-02-20_20,109.49203304809679
2024-02-20_21,148.33973320628868
2024-02-20_22,144.07457227138642
2024-02-20_23,142.8
2024-02-21_00,136.92602316602319
2024-02-21_01,138.82120943952802
2024-02-21_02,169.66063735615225
2024-02-21_03,162.39964601769913
2024-02-21_04,132.4386430678466
2024-02-21_05,144.24964601769912
2024-02-21_06,136.67619469026548
2024-02-21_07,154.76507936507934
2024-02-21_08,141.07557522123895
2024-02-21_09,196.98132687290348
2024-02-21_10,191.7047141424273
2024-02-21_11,179.0
2024-02-21_12,163.925
2024-02-21_13,144.89999999999998
2024-02-21_14,139.45
2024-02-22_20,97.65810465858328
2024-02-22_21,100.46892888757746
2024-02-22_22,98.86171091445428
2024-02-22_23,101.4
